latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
40.01355,-77.144967,015,032,1925,5095,2025-01-24,1546,L9,H,D
40.039421,-76.616936,015,032,3429,5031,2025-01-24,1546,L9,H,D
40.039426,-76.616585,015,032,3430,5031,2025-01-24,1546,L9,L,D
40.039692,-76.616943,015,032,3429,5030,2025-01-24,1546,L9,L,D
40.043035,-77.069235,015,032,2143,4991,2025-01-24,1546,L9,L,D
40.137898,-77.506621,015,032,909,4608,2025-01-24,1546,L9,H,D
40.138168,-77.506631,015,032,909,4607,2025-01-24,1546,L9,H,D
40.179558,-75.452864,015,032,6742,4551,2025-01-24,1546,L9,H,D
40.180127,-75.568801,015,032,6413,4547,2025-01-24,1546,L9,L,D
40.180398,-75.568803,015,032,6413,4546,2025-01-24,1546,L9,L,D
40.232787,-76.843682,015,032,2799,4303,2025-01-24,1546,L9,L,D
40.232792,-76.84333,015,032,2800,4303,2025-01-24,1546,L9,H,D
40.233057,-76.84369,015,032,2799,4302,2025-01-24,1546,L9,H,D
40.307885,-75.883724,015,032,5524,4067,2025-01-24,1546,L9,H,D
40.322316,-75.794574,015,032,5777,4016,2025-01-24,1546,L9,L,D
40.322586,-75.794577,015,032,5777,4015,2025-01-24,1546,L9,H,D
40.322856,-75.794581,015,032,5777,4014,2025-01-24,1546,L9,L,D
40.324217,-75.793184,015,032,5781,4009,2025-01-24,1546,L9,H,D
40.32422,-75.792831,015,032,5782,4009,2025-01-24,1546,L9,H,D
40.324487,-75.793187,015,032,5781,4008,2025-01-24,1546,L9,H,D
40.32449,-75.792834,015,032,5782,4008,2025-01-24,1546,L9,H,D
40.328178,-76.101524,015,032,4908,3985,2025-01-24,1546,L9,H,D
40.328449,-76.101528,015,032,4908,3984,2025-01-24,1546,L9,L,D
40.353964,-75.353697,015,032,7026,3907,2025-01-24,1546,L9,H,D
40.354234,-75.353698,015,032,7026,3906,2025-01-24,1546,L9,L,D
40.358194,-75.722568,015,032,5982,3885,2025-01-24,1546,L9,H,D
40.358462,-75.722925,015,032,5981,3884,2025-01-24,1546,L9,H,D
40.358464,-75.722571,015,032,5982,3884,2025-01-24,1546,L9,H,D
40.412784,-76.259185,015,032,4466,3666,2025-01-24,1546,L9,H,D
40.417425,-77.451562,015,032,1094,3578,2025-01-24,1546,L9,H,D
40.417695,-77.451571,015,032,1094,3577,2025-01-24,1546,L9,L,D
40.46356,-77.200264,015,032,1809,3426,2025-01-24,1546,L9,L,D
40.476215,-75.64597,015,032,6202,3450,2025-01-24,1546,L9,H,D
40.476217,-75.645616,015,032,6203,3450,2025-01-24,1546,L9,H,D
40.476487,-75.645618,015,032,6203,3449,2025-01-24,1546,L9,L,D
40.528126,-75.317066,015,032,7132,3263,2025-01-24,1546,L9,H,D
40.544679,-77.29502,015,032,1549,3119,2025-01-24,1546,L9,H,D
40.622749,-75.306162,015,032,7164,2913,2025-01-24,1546,L9,H,D
40.623019,-75.306164,015,032,7164,2912,2025-01-24,1546,L9,H,D
40.664044,-75.209814,015,032,7436,2761,2025-01-24,1546,L9,H,D
40.664314,-75.209815,015,032,7436,2760,2025-01-24,1546,L9,H,D
40.664922,-75.391536,015,032,6924,2756,2025-01-24,1546,L9,M,D
40.666713,-75.227569,015,032,7386,2751,2025-01-24,1546,L9,H,D
40.666983,-75.22757,015,032,7386,2750,2025-01-24,1546,L9,H,D
40.682544,-76.373943,015,032,4157,2663,2025-01-24,1546,L9,H,D
40.730376,-76.096406,015,032,4941,2497,2025-01-24,1546,L9,H,D
40.730646,-76.09641,015,032,4941,2496,2025-01-24,1546,L9,H,D
40.730913,-76.09677,015,032,4940,2495,2025-01-24,1546,L9,H,D
40.730916,-76.096415,015,032,4941,2495,2025-01-24,1546,L9,H,D
40.731187,-76.096419,015,032,4941,2494,2025-01-24,1546,L9,H,D
40.738589,-75.995279,015,032,5226,2470,2025-01-24,1546,L9,H,D
40.762065,-75.500513,015,032,6619,2395,2025-01-24,1546,L9,L,D
40.779242,-77.26753,015,032,1649,2253,2025-01-24,1546,L9,H,D
40.779249,-77.267174,015,032,1650,2253,2025-01-24,1546,L9,H,D
40.85771,-75.263104,015,032,7288,2044,2025-01-24,1546,L9,H,D
